ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
184,0.0395,201,4009,32.72792184352875
185,0.014,208,4003,13.656854152679443
186,0.008,1195,4002,12.0
187,0.0205,1588,3999,18.242640614509583
188,0.014,3100,3994,13.656854152679443
189,0.008,749,3992,18.82842707633972
190,231.446,5156,4257,3008.306898832321
191,0.0645,1193,3991,31.899494767189026
192,28.9785,1248,4074,1186.7909722328186
193,0.2605,3623,3982,76.52691113948822
194,0.0195,153,3976,19.41421353816986
195,0.004,2188,3973,8.0
196,15.684,641,4087,757.9554052352905
197,0.004,2215,3964,8.0
198,4.553,4543,3996,336.5929263830185
199,0.128,5453,3966,46.62741661071777
200,6.619,3758,3997,365.6223644018173
201,0.006,5525,3958,10.0
202,0.004,4564,3958,8.0
203,1.6875,3040,3977,268.26702558994293
204,0.014,3022,3955,13.656854152679443
205,0.0085,2626,3946,11.41421353816986
206,0.0415,3017,3947,25.071067690849304
207,0.004,3799,3943,8.0
208,0.0855,4741,3945,37.071067690849304
209,0.004,3754,3940,8.0
210,0.2275,2507,3943,83.21320307254791
211,0.006,217,3934,10.0
212,3.9265,4688,3965,344.35028517246246
213,0.004,3247,3925,8.0
214,0.2145,3759,3929,91.35533833503723
215,0.004,511,3919,8.0
216,0.745,3790,3929,135.7401144504547
217,0.0205,517,3916,18.242640614509583
218,0.0395,2402,3916,26.242640614509583
219,12.217,4810,3974,519.4457383155823
220,0.5435,5497,3916,105.69848430156708
221,0.415,1189,3921,120.91168701648712
222,0.67,3690,3899,108.42640602588654
223,0.004,4303,3886,8.0
224,0.004,3655,3886,8.0
225,0.004,2824,3886,8.0
226,0.153,2456,3898,63.3137081861496
227,0.421,3871,3895,104.42640590667725
228,0.027,2839,3883,22.82842707633972
229,0.027,3024,3881,21.656854152679443
230,0.044,2831,3881,25.656854152679443
231,0.103,4272,3884,52.97056245803833
232,0.1715,4386,3875,58.38477599620819
233,1.7435,9,3917,273.29646348953247
234,0.4875,1692,3876,101.69848430156708
235,0.014,2434,3856,13.656854152679443
236,0.014,217,3856,13.656854152679443
237,0.066,1724,3853,32.485281229019165
238,0.004,1807,3847,8.0
239,10.141,5358,3918,492.61731112003326
240,0.006,3211,3843,10.0
241,0.0235,121,3837,20.242640614509583
242,0.0835,3219,3836,46.72792184352875
243,0.0885,5402,3839,45.55634891986847
244,7.5795,4538,3886,431.60511887073517
245,0.006,2992,3823,10.0
246,0.004,1399,3814,8.0
247,43.4365,1523,3927,1284.4722110033035
248,0.006,2244,3808,10.0
249,0.0225,4289,3807,21.41421353816986
250,0.0465,3825,3808,28.242640614509583
251,0.006,2272,3804,10.0
252,0.11,1427,3806,44.97056245803833
253,0.0505,4290,3795,28.242640614509583
254,0.01,1489,3785,14.0
255,86.8325,358,3956,1852.9473869800568
256,0.004,2323,3778,8.0
257,0.033,1179,3773,22.82842707633972
258,0.408,1504,3783,87.59797883033752
259,17.6615,4694,3849,869.5950131416321
260,0.64,1687,3777,116.91168737411499
261,1.564,1452,3777,199.05382251739502
262,0.2455,175,3766,70.3847758769989
263,0.2405,4733,3758,80.52691125869751
264,0.1385,2487,3753,49.21320307254791
265,11.4445,1308,3823,569.8305140733719
266,1.1675,1564,3761,162.81118178367615
267,0.1265,1530,3733,50.72792184352875
268,635.241,3909,4177,17109.102163672447
269,0.151,2487,3729,46.97056245803833
270,0.443,2621,3723,103.79898953437805
271,0.4705,2330,3728,109.84061968326569
272,22.6675,5612,3838,764.7178171873093
273,0.004,1921,3700,8.0
274,0.006,2461,3697,10.0
275,0.006,280,3692,10.0
276,3.2225,1757,3723,416.14927542209625
277,0.294,1158,3697,68.6274163722992
278,0.139,4751,3693,50.97056233882904
279,5.1195,1205,3730,365.5218583345413
280,0.0355,1976,3683,23.071067690849304
281,114.622,919,3870,1923.1900267601013
282,3.465,67,3708,297.62236404418945
283,0.3615,4119,3675,79.21320295333862
284,7.7295,618,3760,523.0609631538391
285,29.0645,4500,3751,828.6244513988495
286,0.004,4411,3652,8.0
287,0.025,1796,3653,20.0
288,0.359,4707,3651,78.76955235004425
289,0.006,4411,3640,10.0
290,1.186,10,3668,177.39696836471558
291,0.0295,3109,3634,23.41421353816986
292,0.008,2243,3628,12.0
293,0.004,2131,3628,8.0
294,0.047,5510,3629,25.656854152679443
295,3.2025,429,3662,269.5807341337204
296,0.006,4411,3624,10.0
297,0.5325,58,3639,106.66904652118683
298,0.009,577,3621,12.0
299,0.237,4713,3625,62.62741661071777
300,0.008,4413,3616,12.0
301,0.004,580,3613,8.0
302,0.0835,3094,3616,48.72792172431946
303,0.004,5608,3607,8.0
304,0.0305,574,3605,24.242640614509583
305,0.006,565,3601,10.0
306,0.006,4732,3600,10.0
307,0.004,3439,3598,8.0
308,0.004,562,3595,8.0
309,0.044,3407,3593,25.656854152679443
310,3.1855,529,3624,245.58073365688324
311,0.4495,2281,3596,109.01219248771667
312,0.014,2137,3586,13.656854152679443
313,0.0115,2101,3585,13.41421353816986
314,5.7175,5604,3630,517.7472538948059
315,0.0335,4734,3586,26.242640614509583
316,0.2265,4707,3592,66.87005722522736
317,0.006,756,3583,10.0
318,0.006,2116,3582,10.0
319,0.105,2128,3584,50.14213538169861
320,0.4565,2325,3585,106.66904675960541
321,0.035,746,3579,31.313708305358887
322,0.88,2610,3584,140.9116872549057
323,191.504,2095,3859,5019.722322225571
324,0.004,2041,3571,8.0
325,0.006,2029,3570,10.0
326,0.1055,2324,3568,40.72792184352875
327,0.159,610,3565,48.97056233882904
328,0.935,3046,3580,145.74011409282684
329,22.794,1347,3644,837.3523732423782
330,0.9405,441,3567,119.8406194448471
331,0.022,4780,3549,21.656854152679443
332,0.023,4774,3548,18.82842707633972
333,0.0205,4767,3547,18.242640614509583
334,24.148,4326,3653,962.5239459276199
335,10.229,2512,3639,689.872144818306
336,0.5845,2141,3556,122.18376553058624
337,4.1815,855,3591,305.8650047779083
338,0.006,3166,3534,10.0
339,0.0295,4884,3534,21.071067690849304
340,0.2455,3735,3539,65.21320307254791
341,20.9415,223,3628,828.3401806354523
342,0.1885,5427,3535,58.3847758769989
343,0.016,5089,3526,20.0
344,0.8115,48,3538,121.01219248771667
345,0.004,5095,3520,8.0
346,0.016,5086,3520,20.0
347,0.023,0,3524,26.82842707633972
348,0.004,1987,3517,8.0
349,0.006,4291,3516,10.0
350,0.275,3730,3521,68.62741661071777
351,0.0195,622,3512,17.41421353816986
352,0.2935,2365,3518,76.5269113779068
353,0.3295,2324,3519,80.04163014888763
354,25.283,4533,3572,1035.0092270374298
355,0.1415,2183,3510,70.04163014888763
356,1.6225,1199,3529,176.6101713180542
357,0.004,3742,3499,8.0
358,0.126,2769,3502,62.627416491508484
359,0.142,2214,3508,51.79898953437805
360,0.1455,2738,3502,49.55634891986847
361,0.006,2074,3498,10.0
362,0.006,2065,3498,10.0
363,0.006,2320,3496,10.0
364,0.004,1399,3493,8.0
365,23.2545,1069,3566,894.4234404563904
366,0.006,3490,3492,10.0
367,0.047,958,3493,28.485281229019165
368,0.004,2158,3487,8.0
369,0.014,937,3487,13.656854152679443
370,0.0995,2737,3489,38.38477575778961
371,0.041,2302,3484,24.485281229019165
372,9.726,2016,3546,806.0142798423767
373,0.0715,948,3489,50.38477599620819
374,208.2075,2795,3847,5890.547783970833
375,0.2185,2075,3487,136.32590091228485
376,0.0535,2080,3476,34.72792184352875
377,0.547,1958,3488,103.94112479686737
378,2.2485,4660,3483,313.5807338953018
379,3.692,1282,3483,276.3086556196213
380,0.014,4345,3454,13.656854152679443
381,0.17,3739,3450,50.14213526248932
382,0.224,1388,3456,67.4558435678482
383,0.3325,1988,3452,72.87005698680878
384,0.2975,963,3451,86.04163014888763
385,0.227,4705,3443,77.4558436870575
386,0.348,2914,3433,80.28427064418793
387,0.0265,1188,3425,20.242640614509583
388,0.0745,3715,3423,33.071067690849304
389,0.066,4966,3422,33.31370830535889
390,1.2705,1124,3431,154.46803617477417
391,0.1795,1808,3421,51.55634880065918
392,9.663,107,3470,573.4457385540009
393,0.008,4760,3404,18.82842707633972
394,0.006,1749,3403,10.0
395,19.395,4853,3461,1004.6660822629929
396,31.4235,749,3484,1332.0701886415482
397,0.0505,4771,3402,51.899494767189026
398,0.2035,614,3408,58.041630029678345
399,0.124,628,3390,56.97056245803833
400,0.112,852,3390,42.97056245803833
401,0.084,4819,3381,37.79898953437805
402,4.5235,257,3423,398.4924211502075
403,0.542,484,3387,106.91168713569641
404,0.009,1897,3362,12.0
405,0.004,4420,3358,8.0
406,0.1515,4762,3363,47.21320307254791
407,1.212,1134,3377,182.8528116941452
408,0.168,4780,3361,52.62741661071777
409,0.4655,4826,3361,99.35533821582794
410,0.006,4807,3349,10.0
411,16.435,2637,3430,1003.9209135770798
412,7.216,1006,3368,446.190905213356
413,0.021,756,3321,18.82842707633972
414,0.006,5338,3307,10.0
415,0.006,4212,3298,10.0
416,0.164,1236,3305,51.455843448638916
417,0.009,705,3294,12.0
418,0.014,5341,3292,13.656854152679443
419,25.1345,1323,3362,1343.5016479492188
420,0.006,703,3286,10.0
421,0.004,706,3280,8.0
422,0.0255,752,3281,31.899494767189026
423,0.015,697,3280,14.828427076339722
424,0.5155,5499,3285,172.46803629398346
425,6.7005,57,3300,441.6639939546585
426,0.004,1693,3259,8.0
427,2.462,2628,3272,227.8233746290207
428,0.606,1274,3250,106.76955199241638
429,0.008,5625,3238,12.0
430,0.004,5473,3238,8.0
431,0.026,1316,3238,19.656854152679443
432,0.026,3913,3230,19.656854152679443
433,0.006,3907,3228,10.0
434,0.006,1627,3220,10.0
435,0.01,5603,3205,14.0
436,11.2935,1796,3262,581.6295036077499
437,0.0625,5003,3204,33.899494767189026
438,3.2845,189,3235,389.32084822654724
439,0.174,3381,3206,58.62741661071777
440,0.006,2722,3196,10.0
441,0.004,5002,3193,8.0
442,0.006,532,3190,10.0
443,0.004,520,3190,8.0
444,0.004,4171,3172,8.0
445,16.8385,853,3245,636.1736602783203
446,0.023,48,3172,19.656854152679443
447,0.014,5035,3157,13.656854152679443
448,0.1825,3155,3163,56.38477599620819
449,0.004,2524,3154,8.0
450,0.018,739,3154,17.656854152679443
451,47.1805,2843,3262,1035.8204097747803
452,0.03,2727,3136,23.656854152679443
453,0.2315,5443,3139,76.87005722522736
454,0.0645,4434,3132,31.071067690849304
455,0.006,1435,3118,10.0
456,0.0605,3343,3120,36.72792184352875
457,0.0405,3155,3115,30.242640614509583
458,10.576,717,3198,867.8965297937393
459,0.008,676,3113,12.0
460,4.66,540,3147,313.9655101299286
